Patricio Lahitou, ARG
Matias Perrone, ARG
Sebastian Pelliccioni, ARG
Esteban Taborda, ARG
Nicolas Garcia, ARG
Ignacio Fernandez, ARG
Julian Nash, USA
Jordan Godfrey, USA
Fumito Kouhase, JPN 
Miguel Simon, BRA 
Atsuhiro Kashihara, JPN 
Piero Menor, ESP
Marco Caricato, ESP
Nicolas Cousin, FRA
Mark Woodward, USA
Tommy Martinez, MEX
Alexandre Richer, FRA
Benjamin Cavanon, FRA
Clement Rigaud, FRA
Jeremy Henin, FRA
